infinitive,partizip_perfekt,meaning
sein,gewesen,to be
haben,gehabt,to have
werden,geworden,to become
können,gekonnt,to be able to
müssen,gemusst,must/have to
sagen,gesagt,to say
machen,gemacht,to do/make
geben,gegeben,to give
kommen,gekommen,to come
sollen,gesollt,should/ought to
wollen,gewollt,to want
gehen,gegangen,to go
wissen,gewusst,to know (a fact)
sehen,gesehen,to see
lassen,gelassen,to let/leave
stehen,gestanden,to stand
finden,gefunden,to find
bleiben,geblieben,to stay/remain
liegen,gelegen,to lie (be situated)
heißen,geheißen,to be called
denken,gedacht,to think
nehmen,genommen,to take
tun,getan,to do
dürfen,gedurft,to be allowed to
glauben,geglaubt,to believe
halten,gehalten,to hold
mögen,gemocht,to like
zeigen,gezeigt,to show
führen,geführt,to lead
sprechen,gesprochen,to speak
bringen,gebracht,to bring
leben,gelebt,to live
fahren,gefahren,to drive/go (by vehicle)
meinen,gemeint,to mean
fragen,gefragt,to ask
kennen,gekannt,to know (someone)
gelten,gegolten,to be valid
stellen,gestellt,to put/place
spielen,gespielt,to play
arbeiten,gearbeitet,to work
brauchen,gebraucht,to need
folgen,gefolgt,to follow
lernen,gelernt,to learn
bestehen,bestanden,to pass (exam)
verstehen,verstanden,to understand
setzen,gesetzt,to set/put
bekommen,bekommen,to get/receive
beginnen,begonnen,to begin
erzählen,erzählt,to tell/narrate
versuchen,versucht,to try
schreiben,geschrieben,to write
laufen,gelaufen,to run/walk
erklären,erklärt,to explain
entscheiden,entschieden,to decide
erreichen,erreicht,to reach
tragen,getragen,to carry/wear
lesen,gelesen,to read
verlieren,verloren,to lose
darstellen,dargestellt,to represent
entwickeln,entwickelt,to develop
reden,geredet,to talk
aussehen,ausgesehen,to look (appearance)
erscheinen,erschienen,to appear
bilden,gebildet,to form
anbieten,angeboten,to offer
vergleichen,verglichen,to compare
wohnen,gewohnt,to live (reside)
betrachten,betraachtet,to consider/look at
verlassen,verlassen,to leave
schwimmen,geschwommen,to swim
reiten,geritten,to ride (horse)
feiern,gefeiert,to celebrate
verkaufen,verkauft,to sell
kaufen,gekauft,to buy
öffnen,geöffnet,to open
schließen,geschlossen,to close
helfen,geholfen,to help
beenden,beendet,to finish/end
fühlen,gefühlt,to feel
telefonieren,telefoniert,to call (phone)
duschen,geduscht,to shower
waschen,gewaschen,to wash
kochen,gekocht,to cook
tanzen,getanzt,to dance
singen,gesungen,to sing
lachen,gelacht,to laugh
weinen,geweint,to cry
schlafen,geschlafen,to sleep
reisen,gereist,to travel
suchen,gesucht,to search/look for
steigen,gestiegen,to climb
fallen,gefallen,to fall
ziehen,gezogen,to pull
schieben,geschoben,to push
fliegen,geflogen,to fly
sparen,gespart,to save (money)
bezahlen,bezahlt,to pay
bekommen,bekommen,to receive
tragen,getragen,to wear/carry
